序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
30,688033,*ST天宜,营业收入,"预计2025年1-3月营业收入:24,035.65万元,同比上年下降:30.82%,同比上年降低10,706.07万元。",240356500.0,-30.82,"报告期内,公司轨道交通业务收入规模较去年同期有所提升,此外,尽管公司光伏拉晶辅材业务受光伏行业逆周期影响逐渐减弱,但行业传导至业务端尚需一定时间,报告期内该板块业务收入规模尚未回暖至周期影响前规模。报告期内公司持续推行降本增效理念,财务费用也进一步降低。受上述因素影响,公司2025年第一季度总体收入规模较去年同期有所下降,但净利润预计同比减亏。",略减,347417100.0,2025-04-24
31,002466,天齐锂业,每股收益,预计2025年1-3月每股收益盈利:0.05元至0.08元。,0.065,,"天齐锂业股份有限公司(以下简称“公司”)报告期业绩变动的主要原因:1、尽管受锂产品市场波动的影响,公司2025年第一季度锂产品销售价格较上年同期下降,但得益于公司控股子公司Windfield Holdings Pty Ltd锂矿定价周期缩短,其全资子公司Talison Lithium Pty Ltd化学级锂精矿定价机制与公司锂化工产品销售定价机制在以前年度存在的时间周期错配的影响已大幅减弱。随着国内新购锂精矿陆续入库及库存锂精矿的逐步消化,公司各生产基地生产成本中耗用的化学级锂精矿成本基本贴近最新采购价格。同时,受自产工厂爬坡及技改的积极影响,公司2025年第一季度锂化合物及衍生品的产销量实现同比增长。2、截至本业绩预告公告日,公司重要的联营公司Sociedad Química y Minera de Chile S.A.(以下简称“SQM”)尚未公告其2025年第一季度业绩报告。公司全面考虑所能获取的可靠信息,沿用一贯方式,采用彭博社预测的SQM2025年第一季度每股收益等信息为基础来计算同期公司对SQM的投资收益。鉴于SQM税务争议裁决对其净利润的影响已于2024年度确认,根据前述彭博社预测数据,SQM2025年第一季度业绩预计将同比增长,因此公司在本报告期确认的对该联营公司的投资收益较上年同期增长。",扭亏,-2.38,2025-04-24
32,002466,天齐锂业,归属于上市公司股东的净利润,"预计2025年1-3月归属于上市公司股东的净利润盈利:8,200万元至12,300万元。",102500000.0,102.63,"天齐锂业股份有限公司(以下简称“公司”)报告期业绩变动的主要原因:1、尽管受锂产品市场波动的影响,公司2025年第一季度锂产品销售价格较上年同期下降,但得益于公司控股子公司Windfield Holdings Pty Ltd锂矿定价周期缩短,其全资子公司Talison Lithium Pty Ltd化学级锂精矿定价机制与公司锂化工产品销售定价机制在以前年度存在的时间周期错配的影响已大幅减弱。随着国内新购锂精矿陆续入库及库存锂精矿的逐步消化,公司各生产基地生产成本中耗用的化学级锂精矿成本基本贴近最新采购价格。同时,受自产工厂爬坡及技改的积极影响,公司2025年第一季度锂化合物及衍生品的产销量实现同比增长。2、截至本业绩预告公告日,公司重要的联营公司Sociedad Química y Minera de Chile S.A.(以下简称“SQM”)尚未公告其2025年第一季度业绩报告。公司全面考虑所能获取的可靠信息,沿用一贯方式,采用彭博社预测的SQM2025年第一季度每股收益等信息为基础来计算同期公司对SQM的投资收益。鉴于SQM税务争议裁决对其净利润的影响已于2024年度确认,根据前述彭博社预测数据,SQM2025年第一季度业绩预计将同比增长,因此公司在本报告期确认的对该联营公司的投资收益较上年同期增长。",扭亏,-3896784800.0,2025-04-24
33,002466,天齐锂业,扣除非经常性损益后的净利润,"预计2025年1-3月扣除非经常性损益后的净利润盈利:3,200万元至4,800万元。",40000000.0,101.025,"天齐锂业股份有限公司(以下简称“公司”)报告期业绩变动的主要原因:1、尽管受锂产品市场波动的影响,公司2025年第一季度锂产品销售价格较上年同期下降,但得益于公司控股子公司Windfield Holdings Pty Ltd锂矿定价周期缩短,其全资子公司Talison Lithium Pty Ltd化学级锂精矿定价机制与公司锂化工产品销售定价机制在以前年度存在的时间周期错配的影响已大幅减弱。随着国内新购锂精矿陆续入库及库存锂精矿的逐步消化,公司各生产基地生产成本中耗用的化学级锂精矿成本基本贴近最新采购价格。同时,受自产工厂爬坡及技改的积极影响,公司2025年第一季度锂化合物及衍生品的产销量实现同比增长。2、截至本业绩预告公告日,公司重要的联营公司Sociedad Química y Minera de Chile S.A.(以下简称“SQM”)尚未公告其2025年第一季度业绩报告。公司全面考虑所能获取的可靠信息,沿用一贯方式,采用彭博社预测的SQM2025年第一季度每股收益等信息为基础来计算同期公司对SQM的投资收益。鉴于SQM税务争议裁决对其净利润的影响已于2024年度确认,根据前述彭博社预测数据,SQM2025年第一季度业绩预计将同比增长,因此公司在本报告期确认的对该联营公司的投资收益较上年同期增长。",扭亏,-3916733900.0,2025-04-24
34,603202,天有为,归属于上市公司股东的净利润,"预计2025年1-3月归属于上市公司股东的净利润盈利:23,500万元至24,500万元,同比上年增长:1.91%至6.25%。",240000000.0,4.08,,略增,230595600.0,2025-04-23
35,603202,天有为,营业收入,"预计2025年1-3月营业收入:100,000万元至105,000万元,同比上年增长:6.86%至12.2%。",1025000000.0,9.53,,略增,935789100.0,2025-04-23
36,603202,天有为,扣除非经常性损益后的净利润,"预计2025年1-3月扣除非经常性损益后的净利润盈利:23,000万元至24,000万元,同比上年增长:1.51%至5.92%。",235000000.0,3.715,,略增,226575800.0,2025-04-23
37,600582,天地科技,归属于上市公司股东的净利润,"预计2025年1-3月归属于上市公司股东的净利润盈利:142,600万元至144,700万元,同比上年增长:106%至109%,同比上年增长73,381万元至75,481万元。",1436500000.0,107.5,"2025年一季度,受孙公司公开挂牌转让所属企业资产影响,业绩同比增加。",预增,692190000.0,2025-04-23
38,600582,天地科技,扣除非经常性损益后的净利润,"预计2025年1-3月扣除非经常性损益后的净利润盈利:47,300万元至49,300万元,同比上年下降:26%至29%,同比上年降低17,301万元至19,301万元。",483000000.0,-27.5,"2025年一季度,受孙公司公开挂牌转让所属企业资产影响,业绩同比增加。",略减,666010000.0,2025-04-23
39,001233,海安集团,归属于上市公司股东的净利润,"预计2025年1-3月归属于上市公司股东的净利润盈利:12,000万元至13,000万元,同比上年变动:-4.58%至3.37%。",125000000.0,-0.605,,续盈,125761400.0,2025-04-23
40,001233,海安集团,营业收入,"预计2025年1-3月营业收入:48,000万元至53,000万元,同比上年变动:-7.33%至2.33%。",505000000.0,-2.5,,续盈,517945900.0,2025-04-23
41,001233,海安集团,扣除非经常性损益后的净利润,"预计2025年1-3月扣除非经常性损益后的净利润盈利:11,800万元至12,800万元,同比上年变动:-3.73%至4.43%。",123000000.0,0.35,,续盈,122572300.0,2025-04-23
42,600984,建设机械,归属于上市公司股东的净利润,"预计2025年1-3月归属于上市公司股东的净利润亏损约:24,450万元。",-244500000.0,-2.51,"(一)主营业务影响2025年一季度,由于季节性停工和春节假期影响,以及工程建设项目新开工面积减少、项目开工率不足等因素,国内塔机租赁市场延续下游需求不足态势,设备利用率和设备租赁价格仍处于低位徘徊。以上因素导致公司一季度利润出现亏损。(二)非经营性损益的影响非经常性损益对本期业绩没有重大影响。(三)会计处理的影响会计处理对本期业绩没有重大影响。",增亏,-238508600.0,2025-04-22
43,600984,建设机械,扣除非经常性损益后的净利润,"预计2025年1-3月扣除非经常性损益后的净利润亏损约:24,900万元。",-249000000.0,-2.72,"(一)主营业务影响2025年一季度,由于季节性停工和春节假期影响,以及工程建设项目新开工面积减少、项目开工率不足等因素,国内塔机租赁市场延续下游需求不足态势,设备利用率和设备租赁价格仍处于低位徘徊。以上因素导致公司一季度利润出现亏损。(二)非经营性损益的影响非经常性损益对本期业绩没有重大影响。(三)会计处理的影响会计处理对本期业绩没有重大影响。",增亏,-242409100.0,2025-04-22
44,002669,康达新材,每股收益,预计2025年1-3月每股收益盈利:0.018元至0.022元。,0.02,,"本报告期内,公司预计经营业绩扭亏为盈,具体变动原因如下:1、公司积极推进业务订单生产交付,报告期内营收规模大幅增加,净利润同比扭亏为盈,同比上年一季度业绩显著回升。公司胶粘剂新材料板块积极把握市场机遇,产品销量增加,特别是风电叶片系列产品业务发展趋势向好,规模效应逐渐显现。2、公司各业务板块持续推进降本增效工作,全面提升经营效率。3、报告期内,公司非经常性损益金额273.77万元左右,主要为公司参股公司分红和收到的政府补助。",扭亏,-0.083,2025-04-22
45,002669,康达新材,归属于上市公司股东的净利润,"预计2025年1-3月归属于上市公司股东的净利润盈利:540万元至660万元,同比上年增长:121.78%至126.62%。",6000000.0,124.2,"本报告期内,公司预计经营业绩扭亏为盈,具体变动原因如下:1、公司积极推进业务订单生产交付,报告期内营收规模大幅增加,净利润同比扭亏为盈,同比上年一季度业绩显著回升。公司胶粘剂新材料板块积极把握市场机遇,产品销量增加,特别是风电叶片系列产品业务发展趋势向好,规模效应逐渐显现。2、公司各业务板块持续推进降本增效工作,全面提升经营效率。3、报告期内,公司非经常性损益金额273.77万元左右,主要为公司参股公司分红和收到的政府补助。",扭亏,-24793500.0,2025-04-22
46,002669,康达新材,扣除非经常性损益后的净利润,"预计2025年1-3月扣除非经常性损益后的净利润盈利:266.23万元至386.23万元,同比上年增长:110.07%至114.61%。",3262300.0,112.34,"本报告期内,公司预计经营业绩扭亏为盈,具体变动原因如下:1、公司积极推进业务订单生产交付,报告期内营收规模大幅增加,净利润同比扭亏为盈,同比上年一季度业绩显著回升。公司胶粘剂新材料板块积极把握市场机遇,产品销量增加,特别是风电叶片系列产品业务发展趋势向好,规模效应逐渐显现。2、公司各业务板块持续推进降本增效工作,全面提升经营效率。3、报告期内,公司非经常性损益金额273.77万元左右,主要为公司参股公司分红和收到的政府补助。",扭亏,-26427500.0,2025-04-22
47,001388,信通电子,扣除非经常性损益后的净利润,"预计2025年1-3月扣除非经常性损益后的净利润盈利:530万元至580万元,同比上年增长:26.75%至38.7%。",5550000.0,32.725,"公司业绩预计情况与同期相比有所提升,主要原因系受益于电力行业市场需求的不断增长,公司输电线路智能巡检系统等业务的产销规模有所增加。",略增,4181600.0,2025-04-22
48,001388,信通电子,归属于上市公司股东的净利润,"预计2025年1-3月归属于上市公司股东的净利润盈利:650万元至730万元,同比上年增长:3.08%至15.77%。",6900000.0,9.425,"公司业绩预计情况与同期相比有所提升,主要原因系受益于电力行业市场需求的不断增长,公司输电线路智能巡检系统等业务的产销规模有所增加。",略增,6305800.0,2025-04-22
49,001388,信通电子,营业收入,"预计2025年1-3月营业收入:15,000万元至16,500万元,同比上年增长:2.47%至12.71%。",157500000.0,7.59,"公司业绩预计情况与同期相比有所提升,主要原因系受益于电力行业市场需求的不断增长,公司输电线路智能巡检系统等业务的产销规模有所增加。",略增,146390100.0,2025-04-22
50,301560,众捷汽车,扣除非经常性损益后的净利润,"预计2025年1-3月扣除非经常性损益后的净利润盈利:1,900万元至2,300万元,同比上年增长:39.03%至68.3%。",21000000.0,53.665,,预增,13666200.0,2025-04-21
51,301560,众捷汽车,归属于上市公司股东的净利润,"预计2025年1-3月归属于上市公司股东的净利润盈利:1,900万元至2,300万元,同比上年增长:39.25%至68.57%。",21000000.0,53.91,,预增,13644300.0,2025-04-21
52,301560,众捷汽车,营业收入,"预计2025年1-3月营业收入:24,000万元至27,000万元,同比上年增长:12.76%至26.86%。",255000000.0,19.81,,略增,212837100.0,2025-04-21
53,688322,奥比中光,扣除非经常性损益后的净利润,"预计2025年1-3月扣除非经常性损益后的净利润盈利约:370万元,同比上年增长4,483.92万元左右。",3700000.0,108.99,"2025年第一季度,公司持续推进多元化市场战略,努力提升市场拓展效能,通过构建“技术-商业”双轮驱动机制,形成研发成果产业化闭环,战略执行取得阶段性显著成果:报告期内,公司预计实现营业收入约19,100.00万元,同比增长约105.57%;公司预计实现归属于母公司所有者的净利润约2,460.00万元,预计实现归属于母公司所有者的扣除非经常性损益后的净利润约370.00万元,实现扭亏为盈。报告期内,公司在AIoT领域的业务呈现较快增长态势,通过持续构建全价值链成本管控体系,公司进一步推动研发效能提升与运营模式升级,成功实现经营利润由负转正。随着智能终端市场需求的持续扩张与公司3D视觉感知产业智能制造基地产能的快速提升,公司已形成“技术迭代-量产提速-成本优化”的正向循环驱动范式,技术壁垒与规模效应产生的战略纵深优势有望驱动公司未来的盈利结构升级,打开长期价值增量空间。作为空间物理世界的真实数字化重现及各类型机器人“感知-决策-执行”链路中的首要环节,3D视觉感知技术已进入规模化商业应用快车道,有望持续受益于各类AI端侧硬件及AI应用场景发展的浪潮。公司自成立起,已前瞻性布局“芯片+算法+光机”三位一体研发矩阵,通过技术预埋策略深度卡位具身智能赛道,依托核心自研芯片和自研算法引擎搭建技术嫁接平台,持续提升研发转化效率,形成技术护城河。未来,公司将持续关注行业内的新兴领域与产品,以前沿技术模块化输出方式加速渗透各类型机器人、AI端侧硬件、AR/VR等高增长场景,构建辐射全球的技术变现通道,努力为公司高质量发展注入新动能。",扭亏,-41139200.0,2025-04-19
54,688322,奥比中光,营业收入,"预计2025年1-3月营业收入约:19,100万元,同比上年增长:105.57%左右,同比上年增长9,808.85万元左右。",191000000.0,105.57,"2025年第一季度,公司持续推进多元化市场战略,努力提升市场拓展效能,通过构建“技术-商业”双轮驱动机制,形成研发成果产业化闭环,战略执行取得阶段性显著成果:报告期内,公司预计实现营业收入约19,100.00万元,同比增长约105.57%;公司预计实现归属于母公司所有者的净利润约2,460.00万元,预计实现归属于母公司所有者的扣除非经常性损益后的净利润约370.00万元,实现扭亏为盈。报告期内,公司在AIoT领域的业务呈现较快增长态势,通过持续构建全价值链成本管控体系,公司进一步推动研发效能提升与运营模式升级,成功实现经营利润由负转正。随着智能终端市场需求的持续扩张与公司3D视觉感知产业智能制造基地产能的快速提升,公司已形成“技术迭代-量产提速-成本优化”的正向循环驱动范式,技术壁垒与规模效应产生的战略纵深优势有望驱动公司未来的盈利结构升级,打开长期价值增量空间。作为空间物理世界的真实数字化重现及各类型机器人“感知-决策-执行”链路中的首要环节,3D视觉感知技术已进入规模化商业应用快车道,有望持续受益于各类AI端侧硬件及AI应用场景发展的浪潮。公司自成立起,已前瞻性布局“芯片+算法+光机”三位一体研发矩阵,通过技术预埋策略深度卡位具身智能赛道,依托核心自研芯片和自研算法引擎搭建技术嫁接平台,持续提升研发转化效率,形成技术护城河。未来,公司将持续关注行业内的新兴领域与产品,以前沿技术模块化输出方式加速渗透各类型机器人、AI端侧硬件、AR/VR等高增长场景,构建辐射全球的技术变现通道,努力为公司高质量发展注入新动能。",预增,92911500.0,2025-04-19
55,688322,奥比中光,归属于上市公司股东的净利润,"预计2025年1-3月归属于上市公司股东的净利润盈利约:2,460万元,同比上年增长5,338.07万元左右。",24600000.0,185.47,"2025年第一季度,公司持续推进多元化市场战略,努力提升市场拓展效能,通过构建“技术-商业”双轮驱动机制,形成研发成果产业化闭环,战略执行取得阶段性显著成果:报告期内,公司预计实现营业收入约19,100.00万元,同比增长约105.57%;公司预计实现归属于母公司所有者的净利润约2,460.00万元,预计实现归属于母公司所有者的扣除非经常性损益后的净利润约370.00万元,实现扭亏为盈。报告期内,公司在AIoT领域的业务呈现较快增长态势,通过持续构建全价值链成本管控体系,公司进一步推动研发效能提升与运营模式升级,成功实现经营利润由负转正。随着智能终端市场需求的持续扩张与公司3D视觉感知产业智能制造基地产能的快速提升,公司已形成“技术迭代-量产提速-成本优化”的正向循环驱动范式,技术壁垒与规模效应产生的战略纵深优势有望驱动公司未来的盈利结构升级,打开长期价值增量空间。作为空间物理世界的真实数字化重现及各类型机器人“感知-决策-执行”链路中的首要环节,3D视觉感知技术已进入规模化商业应用快车道,有望持续受益于各类AI端侧硬件及AI应用场景发展的浪潮。公司自成立起,已前瞻性布局“芯片+算法+光机”三位一体研发矩阵,通过技术预埋策略深度卡位具身智能赛道,依托核心自研芯片和自研算法引擎搭建技术嫁接平台,持续提升研发转化效率,形成技术护城河。未来,公司将持续关注行业内的新兴领域与产品,以前沿技术模块化输出方式加速渗透各类型机器人、AI端侧硬件、AR/VR等高增长场景,构建辐射全球的技术变现通道,努力为公司高质量发展注入新动能。",扭亏,-28780700.0,2025-04-19
56,002212,天融信,扣除非经常性损益后的净利润,"预计2025年1-3月扣除非经常性损益后的净利润亏损:7,300万元至8,300万元。",-78000000.0,17.755,"报告期,公司同比减亏,毛利率上升超10个百分点,三项费用同比减少超过6%。公司于2025年2月11日发布的智算一体机,在报告期已实现销售收入。(一)公司继续推进提质增效战略,报告期归属于上市公司股东的净利润与扣除非经常性损益后的净利润同比分别实现减亏。1、受宏观经济增速放缓等多种因素影响,网络安全行业短期需求继续承压,加之上年度,年底传统旺季成色不足,结转订单减少,使报告期营业收入受到影响。2、公司发挥自身竞争优势,优化市场竞争策略,加强项目筛选与取舍,收入质量在上年度好转的基础上继续得到较大幅度的提升,毛利率同比增长超过10个百分点。3、公司持续加强管理,强化费用管控,报告期三项费用同比减少超过6%。(二)报告期内,公司持续深化人工智能技术布局,构建“AI+安全”融合创新体系与推进智算云业务,技术研发与产业应用取得显著突破。公司天问大模型集成多家大模型能力,实现跨越式升级,通过本地化部署,进一步提升了产品竞争力;公司发布智算云平台和智算一体机,拓展了在云计算领域的产品与业务覆盖,加速向智算云领域推进,形成软硬一体化的行业解决方案交付能力,在报告期内已经形成销售;深度融合大模型对抗训练技术与传统安全防护体系,推出全景式大模型防护方案,拓展了公司网络安全产品的应用场景。",减亏,-94838400.0,2025-04-19
