序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
18,603389,亚振家居,营业收入,"预计2025年1-12月营业收入:52,000万元至57,000万元。",545000000.0,169.265,"报告期内,公司通过优化业务经营布局、强化成本管控、加强财务管理力度等措施,有效控制了亏损幅度。同时,公司通过新并入的子公司广西锆业科技有限公司切入锆钛矿选矿加工领域,构建“家居+锆钛矿”的双主业经营格局,新并入的锆钛矿选矿加工业务已呈现稳定持续发展局面,对公司转型发展战略形成有力支撑。",预增,202402000.0,2026-04-28
19,601666,平煤股份,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:21,100万元至25,100万元,同比上年下降:89.31%至91.01%,同比上年降低209,800万元至213,800万元。",231000000.0,-90.16,"报告期内公司主要煤炭产品价格下行,导致归属于母公司所有者的净利润下降。",预减,2350000000.0,2026-04-28
20,601666,平煤股份,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:30,200万元至34,200万元,同比上年下降:85.41%至87.12%,同比上年降低199,900万元至203,900万元。",322000000.0,-86.265,"报告期内公司主要煤炭产品价格下行,导致归属于母公司所有者的净利润下降。",预减,2340000000.0,2026-04-28
21,300029,天龙退,扣除后营业收入,"预计2025年1-12月扣除后营业收入:26,000万元至32,000万元。",290000000.0,,"(一)公司本年度营业收入较上一会计年度大幅度提高,其主要原因为本年度公司新能源EPC工程项目推进较为顺利,由此导致公司经营业绩的改善。但依据《企业会计准则》及公司财务管理制度规定,本年度计提坏账准备金额约为3,280万元,导致公司净利润为负。(二)关联方捐赠增加公司股东权益2,500万元。",预增,156698400.0,2026-04-28
22,300029,天龙退,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:1,856万元至2,156万元,同比上年增长:21.04%至32.02%。",-20060000.0,26.53,"(一)公司本年度营业收入较上一会计年度大幅度提高,其主要原因为本年度公司新能源EPC工程项目推进较为顺利,由此导致公司经营业绩的改善。但依据《企业会计准则》及公司财务管理制度规定,本年度计提坏账准备金额约为3,280万元,导致公司净利润为负。(二)关联方捐赠增加公司股东权益2,500万元。",减亏,-27303700.0,2026-04-28
23,300029,天龙退,营业收入,"预计2025年1-12月营业收入:28,000万元至35,000万元。",315000000.0,95.495,"(一)公司本年度营业收入较上一会计年度大幅度提高,其主要原因为本年度公司新能源EPC工程项目推进较为顺利,由此导致公司经营业绩的改善。但依据《企业会计准则》及公司财务管理制度规定,本年度计提坏账准备金额约为3,280万元,导致公司净利润为负。(二)关联方捐赠增加公司股东权益2,500万元。",预增,161127900.0,2026-04-28
24,300029,天龙退,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:1,833万元至2,133万元,同比上年增长:21.21%至32.29%。",-19830000.0,26.75,"(一)公司本年度营业收入较上一会计年度大幅度提高,其主要原因为本年度公司新能源EPC工程项目推进较为顺利,由此导致公司经营业绩的改善。但依据《企业会计准则》及公司财务管理制度规定,本年度计提坏账准备金额约为3,280万元,导致公司净利润为负。(二)关联方捐赠增加公司股东权益2,500万元。",减亏,-27073000.0,2026-04-28
25,002535,林州重机,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:4,500万元至4,900万元。",-47000000.0,-149.295,"本次业绩变动的主要原因是,报告期内,受煤炭市场影响,下游客户需求减少,公司产量下降;同时,公司高端产品订单占比下降,毛利率下降。",首亏,95344000.0,2026-04-28
26,002535,林州重机,每股收益,预计2025年1-12月每股收益亏损:0.0561元至0.0611元。,-0.0586,,"本次业绩变动的主要原因是,报告期内,受煤炭市场影响,下游客户需求减少,公司产量下降;同时,公司高端产品订单占比下降,毛利率下降。",首亏,0.1189,2026-04-28
27,002535,林州重机,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:6,500万元至6,900万元。",-67000000.0,-222.865,"本次业绩变动的主要原因是,报告期内,受煤炭市场影响,下游客户需求减少,公司产量下降;同时,公司高端产品订单占比下降,毛利率下降。",首亏,54531900.0,2026-04-28
28,002514,*ST宝馨,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:21,000万元至22,000万元。",-215000000.0,71.98,"报告期内,营业收入同比略有所下降,归属于上市公司股东的净利润同比大幅减亏。为应对智能制造板块原有定制设备配件业务订单持续减少的影响,公司通过研发共享经济领域集成设备,开拓新客户和市场,在第四季度营业收入环比实现较大幅度增长且产品毛利稳定。由于公司转型自研集成设备,新业务模式的稳定性正在经过市场验证,存在部分不确定性,因此存在由于新业务模式不稳定而使扣除后营业收入低于3亿元的可能性。此外,上年末剥离亏损企业,以及因光伏行业供需失衡情况好转,公司对光伏资产的减值较上年同期大幅减少,致本报告期归属于上市公司净利润实现较大幅度的增加。但光伏资产未来收益仍存在部分不确定性,公司存在因经营性亏损致净资产为负值的可能性。",减亏,-767236800.0,2026-04-28
29,002514,*ST宝馨,扣除后营业收入,"预计2025年1-12月扣除后营业收入:21,700万元至22,700万元。",222000000.0,,"报告期内,营业收入同比略有所下降,归属于上市公司股东的净利润同比大幅减亏。为应对智能制造板块原有定制设备配件业务订单持续减少的影响,公司通过研发共享经济领域集成设备,开拓新客户和市场,在第四季度营业收入环比实现较大幅度增长且产品毛利稳定。由于公司转型自研集成设备,新业务模式的稳定性正在经过市场验证,存在部分不确定性,因此存在由于新业务模式不稳定而使扣除后营业收入低于3亿元的可能性。此外,上年末剥离亏损企业,以及因光伏行业供需失衡情况好转,公司对光伏资产的减值较上年同期大幅减少,致本报告期归属于上市公司净利润实现较大幅度的增加。但光伏资产未来收益仍存在部分不确定性,公司存在因经营性亏损致净资产为负值的可能性。",略减,322377200.0,2026-04-28
30,002514,*ST宝馨,营业收入,"预计2025年1-12月营业收入:22,000万元至23,000万元。",225000000.0,-33.02,"报告期内,营业收入同比略有所下降,归属于上市公司股东的净利润同比大幅减亏。为应对智能制造板块原有定制设备配件业务订单持续减少的影响,公司通过研发共享经济领域集成设备,开拓新客户和市场,在第四季度营业收入环比实现较大幅度增长且产品毛利稳定。由于公司转型自研集成设备,新业务模式的稳定性正在经过市场验证,存在部分不确定性,因此存在由于新业务模式不稳定而使扣除后营业收入低于3亿元的可能性。此外,上年末剥离亏损企业,以及因光伏行业供需失衡情况好转,公司对光伏资产的减值较上年同期大幅减少,致本报告期归属于上市公司净利润实现较大幅度的增加。但光伏资产未来收益仍存在部分不确定性,公司存在因经营性亏损致净资产为负值的可能性。",略减,335935000.0,2026-04-28
31,002514,*ST宝馨,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:22,000万元至23,000万元。",-225000000.0,68.755,"报告期内,营业收入同比略有所下降,归属于上市公司股东的净利润同比大幅减亏。为应对智能制造板块原有定制设备配件业务订单持续减少的影响,公司通过研发共享经济领域集成设备,开拓新客户和市场,在第四季度营业收入环比实现较大幅度增长且产品毛利稳定。由于公司转型自研集成设备,新业务模式的稳定性正在经过市场验证,存在部分不确定性,因此存在由于新业务模式不稳定而使扣除后营业收入低于3亿元的可能性。此外,上年末剥离亏损企业,以及因光伏行业供需失衡情况好转,公司对光伏资产的减值较上年同期大幅减少,致本报告期归属于上市公司净利润实现较大幅度的增加。但光伏资产未来收益仍存在部分不确定性,公司存在因经营性亏损致净资产为负值的可能性。",减亏,-720119800.0,2026-04-28
32,002514,*ST宝馨,每股收益,预计2025年1-12月每股收益亏损:0.2917元至0.3055元。,-0.2986,,"报告期内,营业收入同比略有所下降,归属于上市公司股东的净利润同比大幅减亏。为应对智能制造板块原有定制设备配件业务订单持续减少的影响,公司通过研发共享经济领域集成设备,开拓新客户和市场,在第四季度营业收入环比实现较大幅度增长且产品毛利稳定。由于公司转型自研集成设备,新业务模式的稳定性正在经过市场验证,存在部分不确定性,因此存在由于新业务模式不稳定而使扣除后营业收入低于3亿元的可能性。此外,上年末剥离亏损企业,以及因光伏行业供需失衡情况好转,公司对光伏资产的减值较上年同期大幅减少,致本报告期归属于上市公司净利润实现较大幅度的增加。但光伏资产未来收益仍存在部分不确定性,公司存在因经营性亏损致净资产为负值的可能性。",减亏,-1.0656,2026-04-28
33,002355,兴民智通,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:20,000万元至30,000万元。",-250000000.0,-240.175,"对外投资公允价值变动亏损大,员工股权激励费用计入扣除非经常性损益;收入增加,经营亏损减少。",首亏,178344500.0,2026-04-28
34,002355,兴民智通,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:7,500万元至15,000万元。",-112500000.0,64.055,"对外投资公允价值变动亏损大,员工股权激励费用计入扣除非经常性损益;收入增加,经营亏损减少。",减亏,-312974200.0,2026-04-28
35,002323,*ST雅博,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:14,000万元至19,000万元。",-165000000.0,17.925,"报告期内,为提升公司经营稳健性,公司以项目回款条件良好及客户资信优良的标准承接新项目,项目客户主要集中在央企、国企、上市公司等优质客户。报告期内公司集中资源夯实金属屋面围护系统和新能源板块业务,受行业环境影响,公司部分项目回款进度不及预期,导致本期公司计提的坏账准备及资产减值较多,对公司净利润亏损影响较大。公司将继续集中优势资源夯实主营,减少固定支出和财务费用,加快产业结构调整,努力实现战略转型。",减亏,-201046100.0,2026-04-28
36,002323,*ST雅博,扣除后营业收入,"预计2025年1-12月扣除后营业收入:27,000万元至29,000万元。",280000000.0,,"报告期内,为提升公司经营稳健性,公司以项目回款条件良好及客户资信优良的标准承接新项目,项目客户主要集中在央企、国企、上市公司等优质客户。报告期内公司集中资源夯实金属屋面围护系统和新能源板块业务,受行业环境影响,公司部分项目回款进度不及预期,导致本期公司计提的坏账准备及资产减值较多,对公司净利润亏损影响较大。公司将继续集中优势资源夯实主营,减少固定支出和财务费用,加快产业结构调整,努力实现战略转型。",略减,342706600.0,2026-04-28
37,002323,*ST雅博,营业收入,"预计2025年1-12月营业收入:27,000万元至29,000万元。",280000000.0,-18.355,"报告期内,为提升公司经营稳健性,公司以项目回款条件良好及客户资信优良的标准承接新项目,项目客户主要集中在央企、国企、上市公司等优质客户。报告期内公司集中资源夯实金属屋面围护系统和新能源板块业务,受行业环境影响,公司部分项目回款进度不及预期,导致本期公司计提的坏账准备及资产减值较多,对公司净利润亏损影响较大。公司将继续集中优势资源夯实主营,减少固定支出和财务费用,加快产业结构调整,努力实现战略转型。",略减,342934900.0,2026-04-28
38,002323,*ST雅博,每股收益,预计2025年1-12月每股收益亏损:0.066元至0.0896元。,-0.0778,,"报告期内,为提升公司经营稳健性,公司以项目回款条件良好及客户资信优良的标准承接新项目,项目客户主要集中在央企、国企、上市公司等优质客户。报告期内公司集中资源夯实金属屋面围护系统和新能源板块业务,受行业环境影响,公司部分项目回款进度不及预期,导致本期公司计提的坏账准备及资产减值较多,对公司净利润亏损影响较大。公司将继续集中优势资源夯实主营,减少固定支出和财务费用,加快产业结构调整,努力实现战略转型。",减亏,-0.09,2026-04-28
39,002323,*ST雅博,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:14,000万元至19,000万元。",-165000000.0,9.71,"报告期内,为提升公司经营稳健性,公司以项目回款条件良好及客户资信优良的标准承接新项目,项目客户主要集中在央企、国企、上市公司等优质客户。报告期内公司集中资源夯实金属屋面围护系统和新能源板块业务,受行业环境影响,公司部分项目回款进度不及预期,导致本期公司计提的坏账准备及资产减值较多,对公司净利润亏损影响较大。公司将继续集中优势资源夯实主营,减少固定支出和财务费用,加快产业结构调整,努力实现战略转型。",续亏,-182745600.0,2026-04-28
40,000669,ST金鸿,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:3,800万元至7,500万元,同比上年增长:58.31%至78.88%。",-56500000.0,68.595,"随着公司年报审计及评估工作的推进,以及相关诉讼判决结果的出具,部分涉及会计估计及专业判断的事项已取得结果。综合上述因素,公司对前期财务报表的相关处理进行了审慎复核,并相应调整了本期财务数据。",减亏,-179908600.0,2026-04-28
41,000669,ST金鸿,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:2,200万元至3,300万元,同比上年增长:110.37%至115.56%。",27500000.0,112.965,"随着公司年报审计及评估工作的推进,以及相关诉讼判决结果的出具,部分涉及会计估计及专业判断的事项已取得结果。综合上述因素,公司对前期财务报表的相关处理进行了审慎复核,并相应调整了本期财务数据。",扭亏,-212099000.0,2026-04-28
42,000669,ST金鸿,每股收益,预计2025年1-12月每股收益盈利:0.03元至0.05元。,0.04,,"随着公司年报审计及评估工作的推进,以及相关诉讼判决结果的出具,部分涉及会计估计及专业判断的事项已取得结果。综合上述因素,公司对前期财务报表的相关处理进行了审慎复核,并相应调整了本期财务数据。",扭亏,-0.31,2026-04-28
43,603322,超讯科技,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损约:4,400万元。",-44000000.0,24.25,"(一)公司算力业务在报告期内达到验收条件,公司对相关项目业务的收入和利润进行了确认;(二)公司强化了应收账款的催收力度,加强回款管理工作。报告期内,减值损失对利润的不利影响相较去年同期有所减少。",减亏,-58089500.0,2026-04-27
44,603322,超讯科技,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损约:3,600万元。",-36000000.0,41.71,"(一)公司算力业务在报告期内达到验收条件,公司对相关项目业务的收入和利润进行了确认;(二)公司强化了应收账款的催收力度,加强回款管理工作。报告期内,减值损失对利润的不利影响相较去年同期有所减少。",减亏,-61762100.0,2026-04-27
45,600053,*ST九鼎,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:34,000万元至37,000万元。",-355000000.0,-32.315,"1、公司私募股权投资管理业务收入、在管项目估值及参股公司业绩持续下滑:(1)存量基金进入退出期导致管理费收入减少;(2)项目退出收益较上年同期下降导致公司收取的管理报酬收入减少;(3)在管项目估值下降导致公司自有资金投资公允价值损失较高;(4)参股公司持续亏损导致公司投资损失较大。2、公司房地产业务部分资产预计减值、终止确认部分递延所得税资产:(1)考虑到当前房地产行业的整体现状仍不容乐观,公司房地产项目所在区域的市场环境亦相对紧张,市场价格持续下行等多重不利因素,结合公司房地产项目的具体实际情况,公司依据相关会计准则,对房地产存货进行了初步的减值测试。遵循谨慎性原则,公司预计将对部分房地产存货进一步计提存货跌价准备,预计金额约为1.36亿元;(2)受市场需求疲软、周边写字楼租金价格下降等影响,公司初步预计投资性房地产的公允价值较去年进一步下降,将导致报告期发生公允价值变动损失约为0.4亿元。(3)基于审慎性原则及对房地产业务的未来预期,公司终止确认递延所得税资产约为0.8亿元。前述金额仅为初步估算结果,尚需进行更为详细和精确的测算,最终的计提减值金额将依据公司聘请的审计机构审定的数据为准。",增亏,-268297800.0,2026-04-27
